央卫秒播,#genre#
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv?3u8y=txiptv

中央视频,#genre#

CCTV1,http://vip.lqcc.xyz:35455/mgtv/608807420.m3u8
CCTV2,http://vip.lqcc.xyz:35455/mgtv/631780532.m3u8
CCTV3,http://vip.lqcc.xyz:35455/mgtv/624878271.m3u8
CCTV4,http://vip.lqcc.xyz:35455/mgtv/631780421.m3u8
CCTV5,http://vip.lqcc.xyz:35455/mgtv/641886683.m3u8
CCTV5+,http://vip.lqcc.xyz:35455/mgtv/641886773.m3u8
CCTV6,http://vip.lqcc.xyz:35455/mgtv/624878396.m3u8
CCTV7,http://vip.lqcc.xyz:35455/mgtv/673168121.m3u8
CCTV8,http://vip.lqcc.xyz:35455/mgtv/624878356.m3u8
CCTV9.http://vip.lqcc.xyz:35455/mgtv/673168140.m3u8
CCTV10,http://vip.lqcc.xyz:35455/mgtv/624878405.m3u8
CCTV11,http://vip.lqcc.xyz:35455/mgtv/667987558.m3u8
CCTV12,http://vip.lqcc.xyz:35455/mgtv/673168185.m3u8
CCTV13,http://vip.lqcc.xyz:35455/mgtv/608807423.m3u8
CCTV14,http://vip.lqcc.xyz:35455/mgtv/624878440.m3u8
CCTV15,http://vip.lqcc.xyz:35455/mgtv/673168223.m3u8
CCTV16,http://vip.lqcc.xyz:35455/nptv/cctv16.m3u8
CCTV17,http://vip.lqcc.xyz:35455/mgtv/673168256.m3u8
CETV1,http://vip.lqcc.xyz:35455/mgtv/923287154.m3u8
CETV2,http://vip.lqcc.xyz:35455/mgtv/923287211.m3u8
CETV4,http://vip.lqcc.xyz:35455/mgtv/923287339.m3u8

卫视频道,#genre#

东方卫视,http://vip.lqcc.xyz:35455/mgtv/651632648.m3u8
江苏卫视,http://vip.lqcc.xyz:35455/mgtv/623899368.m3u8
江西卫视,http://vip.lqcc.xyz:35455/mgtv/783847495.m3u8
广东卫视,http://qwt.zhibotv.top:2016/全网通.php?id=广东卫视
河南卫视,http://vip.lqcc.xyz:35455/mgtv/790187291.m3u8
陕西卫视,http://vip.lqcc.xyz:35455/mgtv/738910838.m3u8
大湾区卫视,http://vip.lqcc.xyz:35455/mgtv/608917627.m3u8
湖北卫视,http://vip.lqcc.xyz:35455/mgtv/947472496.m3u8
吉林卫视,http://vip.lqcc.xyz:35455/mgtv/947472500.m3u8
青海卫视,http://vip.lqcc.xyz:35455/mgtv/947472506.m3u8
海南卫视,http://vip.lqcc.xyz:35455/mgtv/947472502.m3u8
北京卫视,http://vip.lqcc.xyz:35455/nptv/beijing.m3u8
湖南卫视,http://vip.lqcc.xyz:35455/nptv/hunan.m3u8
浙江卫视,http://vip.lqcc.xyz:35455/nptv/zhejiang.m3u8
湖北卫视,http://vip.lqcc.xyz:35455/nptv/hubei.m3u8
天津卫视,http://vip.lqcc.xyz:35455/nptv/tianjing.m3u8
山东卫视,http://vip.lqcc.xyz:35455/nptv/shandong.m3u8
辽宁卫视,http://vip.lqcc.xyz:35455/nptv/liaoning.m3u8
安徽卫视,http://vip.lqcc.xyz:35455/nptv/anhui.m3u8
黑龙江卫视,http://vip.lqcc.xyz:35455/nptv/heilongjiang.m3u8
贵州卫视,http://vip.lqcc.xyz:35455/nptv/guizhou.m3u8
东南卫视,http://vip.lqcc.xyz:35455/nptv/dongnan.m3u8
重庆卫视,http://vip.lqcc.xyz:35455/nptv/chongqing.m3u8
河北卫视,http://vip.lqcc.xyz:35455/nptv/hebei.m3u8
深圳卫视,http://vip.lqcc.xyz:35455/nptv/shenzheng.m3u8
四川卫视,http://vip.lqcc.xyz:35455/nptv/sichuan.m3u8
广西卫视,http://vip.lqcc.xyz:35455/nptv/guangxi.m3u8
山西卫视,http://vip.lqcc.xyz:35455/nptv/shanxi.m3u8
内蒙古卫视,http://vip.lqcc.xyz:35455/nptv/neimenggu.m3u8
青海卫视,http://vip.lqcc.xyz:35455/nptv/qinghai.m3u8
宁夏卫视,http://vip.lqcc.xyz:35455/nptv/ningxia.m3u8
西藏卫视,http://vip.lqcc.xyz:35455/nptv/xizang.m3u8
新疆卫视,http://vip.lqcc.xyz:35455/nptv/xinjiang.m3u8
甘肃卫视,http://vip.lqcc.xyz:35455/nptv/gansu.m3u8
云南卫视,http://vip.lqcc.xyz:35455/nptv/yunnan.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
老故事,http://vip.lqcc.xyz:35455/mgtv/884121956.m3u8
发现之旅,http://vip.lqcc.xyz:35455/mgtv/624878970.m3u8
中学生,http://vip.lqcc.xyz:35455/mgtv/708869532.m3u8
CGTN,http://vip.lqcc.xyz:35455/mgtv/609017205.m3u8
CGTN记录,http://vip.lqcc.xyz:35455/mgtv/609006487.m3u8
CGTN阿语,http://vip.lqcc.xyz:35455/mgtv/609154345.m3u8
CGTN西语,http://vip.lqcc.xyz:35455/mgtv/609006450.m3u8
CGTN法语,http://vip.lqcc.xyz:35455/mgtv/609006476.m3u8
CGTN俄语,http://vip.lqcc.xyz:35455/mgtv/609006446.m3u8
CGTN阿语,http://vip.lqcc.xyz:35455/nptv/cgtnar.m3u8
CGTN纪录,http://vip.lqcc.xyz:35455/nptv/cgtndoc.m3u8


地方综合,#genre#
上海新闻综合,http://vip.lqcc.xyz:35455/mgtv/651632657.m3u8
上视东方影视,http://vip.lqcc.xyz:35455/mgtv/617290047.m3u8
上海第一财经,http://vip.lqcc.xyz:35455/mgtv/608780988.m3u8
南京新闻综合频道,http://vip.lqcc.xyz:35455/mgtv/838109047.m3u8
南京教科频道,http://vip.lqcc.xyz:35455/mgtv/838153729.m3u8
南京十八频道,http://vip.lqcc.xyz:35455/mgtv/838151753.m3u8
体育休闲频道,http://vip.lqcc.xyz:35455/mgtv/626064707.m3u8
江苏城市频道,http://vip.lqcc.xyz:35455/mgtv/626064714.m3u8
江苏国际,http://vip.lqcc.xyz:35455/mgtv/626064674.m3u8
江苏教育,http://vip.lqcc.xyz:35455/mgtv/628008321.m3u8
江苏影视频道,http://vip.lqcc.xyz:35455/mgtv/626064697.m3u8
江苏综艺频道,http://vip.lqcc.xyz:35455/mgtv/626065193.m3u8
公共新闻频道,http://vip.lqcc.xyz:35455/mgtv/626064693.m3u8
淮安新闻综合,http://vip.lqcc.xyz:35455/mgtv/639731826.m3u8
泰州新闻综合,http://vip.lqcc.xyz:35455/mgtv/639731818.m3u8
连云港新闻综合,http://vip.lqcc.xyz:35455/mgtv/639731715.m3u8
宿迁新闻综合,http://vip.lqcc.xyz:35455/mgtv/639731832.m3u8
徐州新闻综合,http://vip.lqcc.xyz:35455/mgtv/639731747.m3u8
华语乐坛最强音,http://vip.lqcc.xyz:35455/mgtv/707671890.m3u8
周杰伦现场,http://vip.lqcc.xyz:35455/mgtv/625133682.m3u8
最强综艺趴,http://vip.lqcc.xyz:35455/mgtv/629942228.m3u8
嘉佳卡通,http://vip.lqcc.xyz:35455/mgtv/614952364.m3u8
经典动画大集合,http://vip.lqcc.xyz:35455/mgtv/629942219.m3u8
新动力量创一流,http://vip.lqcc.xyz:35455/mgtv/713589837.m3u8
开封鼓楼,http://vip.lqcc.xyz:35455/mgtv/681448619.m3u8
钱塘江,http://vip.lqcc.xyz:35455/mgtv/647370520.m3u8
赛事最经典,http://vip.lqcc.xyz:35455/mgtv/646596895.m3u8
掼蛋精英赛,http://vip.lqcc.xyz:35455/mgtv/631354620.m3u8
体坛名栏汇,http://vip.lqcc.xyz:35455/mgtv/629943305.m3u8
咪咕24小时体育台,http://vip.lqcc.xyz:35455/mgtv/654102378.m3u8
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
LOVENATURE,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
LOUPE4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
FASHIONONE,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
咪咕4K,http://vip.lqcc.xyz:35455/itv/3000000010000005180.m3u8?cdn=FifastbLive
咪咕4K.http://vip.lqcc.xyz:35455/itv/3000000010000015686.m3u8?cdn=FifastbLive
咪咕体育,http://vip.lqcc.xyz:35455/itv/3000000001000005308.m3u8?cdn=FifastbLive

港台频道,#genre#

凤凰中文台,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰中文台
凤凰资讯台,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰资讯台
凤凰香港台,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰香港台
凤凰中文,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰中文台
凤凰资讯,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰资讯台
凤凰香港,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰香港台
中天新闻,http://qwt.zhibotv.top:2016/全网通.php?id=中天新闻
寰宇新闻,http://qwt.zhibotv.top:2016/全网通.php?id=寰宇新闻
无线新闻台,http://qwt.zhibotv.top:2016/全网通.php?id=无线新闻台
翡翠台,http://qwt.zhibotv.top:2016/全网通.php?id=翡翠台
凤凰香港,http://xn--94q.xn--0p5a.top/0405smt.php?id=hkphoenix_twn
凤凰卫视,http://xn--94q.xn--0p5a.top/0405smt.php?id=phoenixtv_hd
凤凰资讯,http://xn--94q.xn--0p5a.top/0405smt.php?id=phoenixinfo_hd
翡翠台,http://xn--94q.xn--0p5a.top/0405smt.php?id=jade_twn
翡翠台,http://xn--94q.xn--0p5a.top/0405smt.php?id=Jade_xue
TVBSNEWS新闻台,http://xn--94q.xn--0p5a.top/0405smt.php?id=tvbs_n
TVBS欢乐台（备份）,http://xn--94q.xn--0p5a.top/0405smt.php?id=tvbshuanle_twn
TVBS,http://xn--94q.xn--0p5a.top/0405smt.php?id=tvbs
中天新闻,http://xn--94q.xn--0p5a.top/0405smt.php?id=ctinews
中天娱乐,http://xn--94q.xn--0p5a.top/0405smt.php?id=ctient
中天综和,http://xn--94q.xn--0p5a.top/0405smt.php?id=ctizhonghe
中天亚洲台,http://xn--94q.xn--0p5a.top/0405smt.php?id=ctiasia_twn
台视TTV,http://xn--94q.xn--0p5a.top/0405smt.php?id=ttv_taiwan
台视新闻台,http://xn--94q.xn--0p5a.top/0405smt.php?id=ttvnews_twn
台视综合台,http://xn--94q.xn--0p5a.top/0405smt.php?id=ttvzhonghe
中视,http://xn--94q.xn--0p5a.top/0405smt.php?id=zhongshihd_twn
中视新闻台,http://xn--94q.xn--0p5a.top/0405smt.php?id=zhongshinews_twn
民视,http://xn--94q.xn--0p5a.top/0405smt.php?id=ftvhd_taiwan
民视新闻台,http://xn--94q.xn--0p5a.top/0405smt.php?id=ftvnew_taiwan
民视台湾台,http://xn--94q.xn--0p5a.top/0405smt.php?id=ftvtaiwan_twn
华视CTS,http://xn--94q.xn--0p5a.top/0405smt.php?id=ctshd_twn
公视CTV,http://xn--94q.xn--0p5a.top/0405smt.php?id=ctv18_twn
八大第一,http://xn--94q.xn--0p5a.top/0405smt.php?id=badafirst
八大综合,http://xn--94q.xn--0p5a.top/0405smt.php?id=badazhonghe
八大戏剧,http://xn--94q.xn--0p5a.top/0405smt.php?id=badadrama
八大娱乐,http://xn--94q.xn--0p5a.top/0405smt.php?id=badaentertain
HBO,http://xn--94q.xn--0p5a.top/0405smt.php?id=hbohd_twn
HBO_HITS,http://xn--94q.xn--0p5a.top/0405smt.php?id=hbohit_twn
三立台湾,http://xn--94q.xn--0p5a.top/0405smt.php?id=sanlitaiwan
三立戏剧台,http://xn--94q.xn--0p5a.top/0405smt.php?id=sanlixiju_twn
三立综合,http://xn--94q.xn--0p5a.top/0405smt.php?id=sanlizhonghe
三立都会台,http://xn--94q.xn--0p5a.top/0405smt.php?id=sanlidouhui
东森新闻,http://xn--94q.xn--0p5a.top/0405smt.php?id=ettvnews
CINEMAX,http://xn--94q.xn--0p5a.top/0405smt.php?id=cinemax_twn
东森综合,http://xn--94q.xn--0p5a.top/0405smt.php?id=ettvzhonghe
东森戏剧,http://xn--94q.xn--0p5a.top/0405smt.php?id=ettvdrama
东森超视,http://xn--94q.xn--0p5a.top/0405smt.php?id=ettvsuper
东森财经新闻,http://xn--94q.xn--0p5a.top/0405smt.php?id=ettvcaijing_twn
公视2,http://xn--94q.xn--0p5a.top/0405smt.php?id=ctv2_twn
大爱1台,http://xn--94q.xn--0p5a.top/0405smt.php?id=daai_twn
非凡新闻台,http://xn--94q.xn--0p5a.top/0405smt.php?id=feifannews_twn
靖天国际台,http://xn--94q.xn--0p5a.top/0405smt.php?id=jingtianintl_twn
年代新闻,http://xn--94q.xn--0p5a.top/0405smt.php?id=niandainews_twn
纬来日本台,http://xn--94q.xn--0p5a.top/0405smt.php?id=videolandjapan
纬来电影台,http://xn--94q.xn--0p5a.top/0405smt.php?id=videolandmovie
纬来体育台,http://xn--94q.xn--0p5a.top/0405smt.php?id=videolandsport
纬来综合台,http://xn--94q.xn--0p5a.top/0405smt.php?id=videolandzonghe
纬来育乐,http://xn--94q.xn--0p5a.top/0405smt.php?id=videolandyule
纬来精彩,http://xn--94q.xn--0p5a.top/0405smt.php?id=videolandspecial_twn
好消息2,http://xn--94q.xn--0p5a.top/0405smt.php?id=good2_twn
大爱2台,http://xn--94q.xn--0p5a.top/0405smt.php?id=daai2_twn
亚洲美食,http://xn--94q.xn--0p5a.top/0405smt.php?id=afc_twn
亚洲旅游,http://xn--94q.xn--0p5a.top/0405smt.php?id=tlc_twn
东森电影,http://xn--94q.xn--0p5a.top/0405smt.php?id=ettvmovie
SKYSPORTSMAINEVENT,http://xn--94q.xn--0p5a.top/0405smt.php?id=tiankongmain
爱尔达体育2台,http://xn--94q.xn--0p5a.top/0405smt.php?id=eltasport2_twn
爱尔达体育3台,http://xn--94q.xn--0p5a.top/0405smt.php?id=eltasport3_twn
阿里郎,http://xn--94q.xn--0p5a.top/0405smt.php?id=arirang_twn
博斯运动1,http://xn--94q.xn--0p5a.top/0405smt.php?id=bosisport1_twn
博斯运动2,http://xn--94q.xn--0p5a.top/0405smt.php?id=bosisport2_twn
博斯高球2,http://xn--94q.xn--0p5a.top/0405smt.php?id=bosigolf2_twn
博斯网球1,http://xn--94q.xn--0p5a.top/0405smt.php?id=bositennis_twn
东森洋片,http://xn--94q.xn--0p5a.top/0405smt.php?id=ettvwestern
博斯无限,http://xn--94q.xn--0p5a.top/0405smt.php?id=bosiunlimited_twn
MTVLIVE,http://xn--94q.xn--0p5a.top/0405smt.php?id=mtvhd_twn
靖天卡通台,http://xn--94q.xn--0p5a.top/0405smt.php?id=jingtiancartoon_twn
东森幼幼,http://xn--94q.xn--0p5a.top/0405smt.php?id=yoyo_twn
爱尔达影剧台,http://xn--94q.xn--0p5a.top/0405smt.php?id=eltayingju_twn
爱尔达综合台,http://xn--94q.xn--0p5a.top/0405smt.php?id=eltazonghe_twn
爱尔达影剧,http://xn--94q.xn--0p5a.top/0405smt.php?id=eltayingju_twn
AFC亚洲旅游台,http://xn--94q.xn--0p5a.top/0405smt.php?id=asiatravel_twn
非凡武林.http://vip.lqcc.xyz:35455/huya/21674665
梁非凡吔X啦,http://vip.lqcc.xyz:35455/huya/23749083
梁非凡吃点啥,http://vip.lqcc.xyz:35455/huya/21059577
香港喜剧大全,http://vip.lqcc.xyz:35455/huya/23865080
非凡武林2,http://vip.lqcc.xyz:35455/huya/29982677
ITVB大后宫,http://vip.lqcc.xyz:35455/huya/23863804
香港刑侦实录,http://vip.lqcc.xyz:35455/huya/23865058
历史经典烩,http://vip.lqcc.xyz:35455/douyu/9487003
霹雳舞大叔,http://vip.lqcc.xyz:35455/douyu/1528853
高攀了这人间,http://vip.lqcc.xyz:35455/douyu/9651506
百态人间大赏,http://vip.lqcc.xyz:35455/douyu/8724904
易中天品三国,http://vip.lqcc.xyz:35455/yy/1354931498
火凤凰之战狼七,http://vip.lqcc.xyz:35455/yy/1463088777
香港院线大片最新,http://vip.lqcc.xyz:35455/yy/1354936242
TVB收视爆剧溏心风暴,http://vip.lqcc.xyz:35455/yy/1382736916
易中天品三国完整版,http://vip.lqcc.xyz:35455/yy/1461244449
1930年代经典电影,http://vip.lqcc.xyz:35455/yy/1356363815
山河同在山河情深的历史见证,http://vip.lqcc.xyz:35455/yy/1382736857
高分科幻电影开播,http://vip.lqcc.xyz:35455/yy/1382851586
国家宝藏：历史角色的N重人生,http://vip.lqcc.xyz:35455/yy/1382735573
先锋之那时青春热血年代,http://vip.lqcc.xyz:35455/yy/1382736833
TVB团圆,http://vip.lqcc.xyz:35455/yy/1382749944
反转人生命运交织,http://vip.lqcc.xyz:35455/yy/1382735556
辛亥历史变革的英雄传奇,http://vip.lqcc.xyz:35455/yy/1354926643


超4K专用,#genre#
4K超清*频道Japao,http://d3opspehgd3862dmfdp3sdf.siauliairsavlt.org/iptv/T7DRNUUUKCQLH6/6225/index.m3u8
4K超清*频道Analp,http://d3opspehgd3862dmfdp3sdf.siauliairsavlt.org/iptv/T7DRNUUUKCQLH6/6168/index.m3u8
4K超清*频道naugu,http://d3opspehgd3862dmfdp3sdf.siauliairsavlt.org/iptv/T7DRNUUUKCQLH6/6237/index.m3u8
4K超清*频道Tinyo,http://d3opspehgd3862dmfdp3sdf.siauliairsavlt.org/iptv/T7DRNUUUKCQLH6/6258/index.m3u8
4K超清*频道Exoti,http://d3opspehgd3862dmfdp3sdf.siauliairsavlt.org/iptv/T7DRNUUUKCQLH6/12107/index.m3u8
4K超清*频道Danne,http://d3opspehgd3862dmfdp3sdf.siauliairsavlt.org/iptv/T7DRNUUUKCQLH6/12143/index.m3u8
4K超清*频道BEZZE,http://d3opspehgd3862dmfdp3sdf.siauliairsavlt.org/iptv/T7DRNUUUKCQLH6/6192/index.m3u8
4K超清*频道Cuhra,http://d3opspehgd3862dmfdp3sdf.siauliairsavlt.org/iptv/T7DRNUUUKCQLH6/6190/index.m3u8
4K超清*频道SINem,http://d3opspehgd3862dmfdp3sdf.siauliairsavlt.org/iptv/T7DRNUUUKCQLH6/6255/index.m3u8
4K超清*频道BRAZZ,http://d3opspehgd3862dmfdp3sdf.siauliairsavlt.org/iptv/T7DRNUUUKCQLH6/6222/index.m3u8
4K超清*频道汝Ban,http://d3opspehgd3862dmfdp3sdf.siauliairsavlt.org/iptv/T7DRNUUUKCQLH6/12168/index.m3u8
4K超清*频道Bango,http://d3opspehgd3862dmfdp3sdf.siauliairsavlt.org/iptv/T7DRNUUUKCQLH6/6173/index.m3u8
4K超清*频道Bangp,http://d3opspehgd3862dmfdp3sdf.siauliairsavlt.org/iptv/T7DRNUUUKCQLH6/6174/index.m3u8
4K超清*频道*Blac,http://d3opspehgd3862dmfdp3sdf.siauliairsavlt.org/iptv/T7DRNUUUKCQLH6/6178/index.m3u8


影迷影院,#genre#

庆余年,http://103.193.151.146/huya.php?id=11352960
鬼吹灯,http://103.193.151.146/huya.php?id=11352871
宝莲灯,http://103.193.151.146/huya.php?id=21059563
封神榜,http://103.193.151.146/huya.php?id=23749096
西游记,http://103.193.151.146/huya.php?id=23735126
鹿鼎记,http://103.193.151.146/huya.php?id=23865080
洗冤录,http://103.193.151.146/huya.php?id=23903130
寻秦记,http://103.193.151.146/huya.php?id=23864973
新版三国,http://103.193.151.146/huya.php?id=11352944
新版水浒,http://103.193.151.146/huya.php?id=11342384
天龙八部,http://103.193.151.146/huya.php?id=23903123
笑傲江湖,http://103.193.151.146/huya.php?id=23865142
神雕侠侣,http://103.193.151.146/huya.php?id=23865171
楚汉骄雄,http://103.193.151.146/huya.php?id=23740156
金枝欲孽,http://103.193.151.146/huya.php?id=23865036
雍正王朝,http://103.193.151.146/huya.php?id=11342439
康熙王朝,http://103.193.151.146/huya.php?id=11352940
三国演义,http://103.193.151.146/huya.php?id=11602081
法证先锋,http://103.193.151.146/huya.php?id=23863804
爱情公寓,http://103.193.151.146/huya.php?id=11336726
家有儿女,http://103.193.151.146/huya.php?id=11352872
龙岭迷窟,http://103.193.151.146/huya.php?id=29465863
昆仑神宫,http://103.193.151.146/huya.php?id=11601957
怒晴湘西,http://103.193.151.146/huya.php?id=11602075
云南虫谷,http://103.193.151.146/huya.php?id=11352898
南海归墟,http://103.193.151.146/huya.php?id=11352883
雪山飞狐,http://103.193.151.146/huya.php?id=11352952
红海行动,http://103.193.151.146/huya.php?id=11601986
港产搞笑,http://103.193.151.146/huya.php?id=11601960
港台警匪,http://103.193.151.146/huya.php?id=11352886
推荐合集,http://103.193.151.146/huya.php?id=11602041
强森合集,http://103.193.151.146/huya.php?id=21059581
宇宙合集,http://103.193.151.146/huya.php?id=11342428
怪兽合集,http://103.193.151.146/huya.php?id=21059577
武侠合集,http://103.193.151.146/huya.php?id=11342427
警匪合集,http://103.193.151.146/huya.php?id=11352886
罪犯合集,http://103.193.151.146/huya.php?id=11352962
枪战合集,http://103.193.151.146/huya.php?id=21059579
热血合集,http://103.193.151.146/huya.php?id=11352934
贺岁合集,http://103.193.151.146/huya.php?id=11601971
玄幻合集,http://103.193.151.146/huya.php?id=11342414
谍战合集,http://103.193.151.146/huya.php?id=21059585
喜剧合集,http://103.193.151.146/huya.php?id=11352877
港片合集,http://103.193.151.146/huya.php?id=11602043
国产合集,http://103.193.151.146/huya.php?id=11352973
哆啦 A梦,http://103.193.151.146/huya.php?id=11601963
猫和老鼠,http://103.193.151.146/huya.php?id=11352879
蜡笔小新,http://103.193.151.146/huya.php?id=11352970
海绵宝宝,http://103.193.151.146/huya.php?id=11352919
西部影院,http://103.193.151.146/huya.php?id=30311497
旋风球技,http://103.193.151.146/huya.php?id=11342400
吐槽大会,http://103.193.151.146/huya.php?id=11342422
黑帮斗争,http://103.193.151.146/huya.php?id=11342419
星爷搞笑,http://103.193.151.146/huya.php?id=21136378
医馆笑传,http://103.193.151.146/huya.php?id=11352891
经典好片,http://103.193.151.146/huya.php?id=11342427
史诗大片,http://103.193.151.146/huya.php?id=21059556
开心快乐,http://103.193.151.146/huya.php?id=11342388
中国功夫,http://103.193.151.146/huya.php?id=11352941
韩国动作,http://103.193.151.146/huya.php?id=11352884
勇敢的心,http://103.193.151.146/huya.php?id=11602037
经典好剧,http://103.193.151.146/huya.php?id=11602085
十大奇冤,http://103.193.151.146/huya.php?id=11352899
经典喜剧,http://103.193.151.146/huya.php?id=11352894
异形世界,http://103.193.151.146/huya.php?id=21059577
电锯惊魂,http://103.193.151.146/huya.php?id=11352903
天雷滚滚,http://103.193.151.146/huya.php?id=11352945
港剧经典,http://103.193.151.146/huya.php?id=11352965
茶啊二中,http://103.193.151.146/huya.php?id=11213191
喜剧专场,http://103.193.151.146/huya.php?id=11602044
女神系列,http://103.193.151.146/huya.php?id=11336571
金庸武侠,http://103.193.151.146/huya.php?id=11342435
小李飞刀,http://103.193.151.146/huya.php?id=11336590
魔法世界,http://103.193.151.146/huya.php?id=21059580
镖行天下,http://103.193.151.146/huya.php?id=11352969
西部刑侦,http://103.193.151.146/huya.php?id=11601972
青春爱情,http://103.193.151.146/huya.php?id=11602075
太空混战,http://103.193.151.146/huya.php?id=21059579
三国鼎立,http://103.193.151.146/huya.php?id=11602077
赘婿全集,http://103.193.151.146/huya.php?id=21059564
东方不败,http://103.193.151.146/huya.php?id=11601962
最佳搭档,http://103.193.151.146/huya.php?id=11342397
虎妈猫爸,http://103.193.151.146/huya.php?id=11601964
活佛济公,http://103.193.151.146/huya.php?id=11342400
喜剧合家,http://103.193.151.146/huya.php?id=11352877
谍战神剧,http://103.193.151.146/huya.php?id=11342436
救援电影,http://103.193.151.146/huya.php?id=21059586
